product_id,platform,platform_id,was_active,stage,title
11456,rakuten,formira88:10683833,true,amazon_done,"【S-502・503・504用】メルシーポット用 部品・消耗品 ベビちゃんクリップ"
9676,amazon,B0BL1H3C6B,true,amazon_done,"ベビーチェア ハイローチェア 折りたたみ 取り外し可能なキャスター 足置き 二段テーブル付き 五点式安全ベルト 高さ調節 離乳食 お食事椅子 テーブルチェア 赤ちゃん用 キッズチェア 子供イス 多機能 組立簡単 出産祝い ６か月~４歳"
6748,amazon,B003230O5I,true,amazon_done,"ライオン DENT.EX コドモ歯ブラシ 20本入 12M(混合歯列後前期・5～9歳)(イヌ)"
9997,amazon,B0F7QZVBZZ,true,amazon_done,"ベビーチェア テーブル 折りたたみ 軽量 ベビー椅子 赤ちゃん 子供 キッズチェア お食事椅子 携帯 ダイニングテーブルと椅子 6ヶ月から3歳まで 多機能チェア (グレー)"
10033,amazon,B08SLPQ1R3,true,amazon_done,"【beehive】ベビーチェア ローチェア スマートハイチェア 赤ちゃん用 お食事椅子 離乳食 テーブルチェア ポータブルカバー 多機能 子供イス 北欧風 ６か月~４歳(グリーン)"
10165,amazon,B0CKYWSR5L,true,amazon_done,"enne. 多機能 ベビーチェア ハイチェア ローチェア 折りたたみ 持ち運び ハイローチェア ベビー 赤ちゃん 椅子 テーブル付き お食事 離乳食 (Beige)"
10199,amazon,B0FQ9ZKZTY,true,amazon_done,"KIMINO テーブルチェア【生後6ヶ月から利用できる】ベビーチェア 折りたたみ テーブルチェア 離乳食 赤ちゃんテーブルイス 5点式安全ベルト イス 子ども用 お食事椅子 ベビー 家庭/外食/旅行用"
12229,rakuten,vlookupstore:10668287,true,amazon_done,"Assky ベビーゲート ロール式 ペットゲート伸縮 取り付け簡単 粘着テープ式 ドリル不要 転落防止 ベビー 子猫、子犬 用 玄関 階段 キッチン 安全ゲート ブラック 130x78cm"
7555,amazon,B07W19CGNZ,true,amazon_done,"PIGEON ピジョン フィルベビーミルクローション 380g 570434"
6944,amazon,B001V7YPKM,true,amazon_done,"エビス ハローキティ子供ハブラシ6才以上"
5573,amazon,B0DJXWR436,true,amazon_done,"ベビーカー おでかけバギー B型 折高炭素鋼 軽量 ハイシート 大型タイヤ 日よけカバー ベビーウォーカー 折りたたみ式 超軽量 スクーター ベビーカー b型 折りたたみ 自立式 コンパクト バギー 丸洗い可 新生児 出産お祝い 日本語説明書付き(ブラック)"
7810,amazon,B0CTQB7RTT,true,amazon_done,"ピジョン Pigeon 薬用ローション ももの葉 キューブパック 600ml【大容量】"
6921,amazon,B0BSDG499X,true,amazon_done,"360度毛歯ブラシ POPOTAN(ぽぽたん) 優(カラーいずれか1本)(やわらかめ)"
7005,amazon,B01IHGUNGY,true,amazon_done,"エビス 名探偵コナン ハブラシ 3~6才 6本組 (色おまかせ)"
8515,amazon,B0F7GC52P9,true,amazon_done,"【セット売り】花王 ビオレUV アクアリッチ アクアプロテクトミスト 60ml つけかえ用ミスト 60ml"
7062,amazon,B0G8TBY4FM,true,amazon_done,"ピ ジ ョ ン 乳歯ブラシ レッスン段階3 12か月頃から グリーン 2本入 乳歯ケア 歯磨き 赤ちゃん お手入れ グッズ 安全性 使いやすい オリジナルロゴ入りパッケージH"
7070,amazon,B0DSJ16545,true,amazon_done,"スケーター(Skater) 子供用 歯ブラシ 園児用 3-5才 やわらかめ 8本入 14cm ポケモン 2025 TB5SE"
7188,amazon,B084JG1HFZ,true,amazon_done,"ピジョン 乳歯ブラシ レッスン段階1 4・5か月~ イエロー 1個 (x 1)"
7242,amazon,B0FJKXT3P6,true,amazon_done,"SODATECO（ソダテコ）こども歯ブラシ 6～12歳 やわらかめ（子供 小学生 乳歯 永久歯 混合歯 はえかわり期 2倍長持ち毛 サンスター）"
8295,amazon,B0D3PTFVPJ,true,amazon_done,"【限定品】ビオレUV アクアリッチ アクアプロテクトミスト マジックアワー 60mL SPF50/PA++++ 2個セット"
8368,amazon,B0G31CBHWQ,true,amazon_done,"スキンアクア (SKIN AQUA) トーンアップUVエッセンス ブルー（化粧下地 崩れにくい 透明感アップ）"
7117,amazon,B000FQRVGA,true,amazon_done,"KISS YOU(キスユー) イオン歯ブラシ 極細レギュラー ふつう 替えブラシ (2本) ※色はお選びいただけません。"
7155,amazon,B0012R9XH6,true,amazon_done,"エビス ハブラシキャップ抗菌・大人用(3コ入)"
7296,amazon,B08GS4NVDW,true,amazon_done,"エビス プログリップハブラシtypeI ふつう 3本組 おまかせ 1個 (x 3)"
7308,amazon,B08G17WLR6,true,amazon_done,"エビス プログリップハブラシふつう"
6761,amazon,B0FKHBYR6L,true,amazon_done,"SODATECO（ソダテコ）こども歯磨き粉 辛くない ソフトミント フッ素配合1450ppm（子供 ハミガキ 小学生・中学生向け 虫歯予防 医薬部外品 サンスター）70g"
6803,amazon,B0D4LQWQXG,true,amazon_done,"【Amazon.co.jp限定】クリニカKid's [医薬部外品] ジェルハミガキ グレープ香味 60g×4個+フロス付き 子供用歯磨き粉 フッ素 ムシ歯 仕上げみがき"
6847,amazon,B01I8W96SI,true,amazon_done,"コンビ Combi テテオ teteo はじめて歯みがき 仕上げみがき用 (歯の本数の目安:1本~) 15度ななめネック"
7006,amazon,B0CDC45BQL,true,amazon_done,"PIGEON ピジョン おやすみ前のフッ素コート500ppm いちご味"
7233,amazon,B000BNCBB2,true,amazon_done,"PIGEON ピジョン 親子で乳歯ケア 歯みがきナップ 42包入"
10792,amazon,B0FQBYQK86,true,amazon_done,"アトピタ 保湿全身泡ソープ詰替え用 350ml"
3960,amazon,B0F2S4JWK2,true,amazon_done,"花瓶 陶器 3点セット 花びん おしゃれ 北欧風 花器 小さい かわいい 一輪挿し シンプル 飾り プレゼント 花器 生花 ドライフラワー 造花 フラワーベース セット インテリア アレンジメント リビングルーム 寝室 オフィス ギフトに最適 花瓶 (セット3：オレンジ+アプリコット+ブルー)"
10337,amazon,B09R9M736V,true,amazon_done,"PIGEON ピジョン 全身泡ソープ ベビーフラワーの香り 詰替用 2回分 800ml"
4046,amazon,B0FRSRJDVV,true,amazon_done,"rinaty【5点セット】ベビー食器セット ひっくり返らないベビー食器 吸盤付き 出産祝い 男の子 女の子 【食品衛生法適合 食洗機 電子レンジOK ギフトラッピング済】 (ゴールデンイエロー)"
4112,amazon,B08HLMWKPP,true,amazon_done,"[ミキハウス] テーブルウェアセット 46-7123-827 男の子 女の子 白"
4118,amazon,B0CFKW38ZM,true,amazon_done,"ケーキディスプレイスタンド セラミック ケーキ陳列台 西洋風 円形 2段/3段 デザートスタンド フルーツプレート デザート展示台 飾り付け お菓子 アフタヌーンティー パーティー用 クマ飾り 宴会テーブル"
4229,amazon,B0BS2YYWPP,true,amazon_done,"rinaty 離乳食 食器 吸盤 ベビー食器 ひっくり返らない くっつく シリコンボウル 食洗機対応 電子レンジ対応 かわいい くすみカラー 吸盤付き キッズ"
4246,amazon,B0FJKTWWCM,true,amazon_done,"PIGEON ピジョン magmag マグマグ 成長実感 3種のコップ&ストローセット"
4253,amazon,B075ZXXXHZ,true,amazon_done,"[10mois(ディモワ)] mamamanma(マママンマ) プレートセット ブルー 18151007"
4311,amazon,B0D99FZR1J,true,amazon_done,"スケーター(Skater) ベビー用 カトラリー スプーン･フォークセット はらぺこあおむし（パステル） SFB2"
4349,amazon,B0D9D7QJQF,true,amazon_done,"お椀 味噌椀 汁椀 漆塗 2個 セット 木製 飯碗 味噌汁 夫婦椀 木目 多様椀 おわん 食器セット 茶碗 ギフト"
4898,amazon,B08T9T1KTB,true,amazon_done,"【 2枚セット 】MINGYI お食事エプロン 食事用エプロン ベビー 長袖 マジック式 子供用 防水 軽量 立体ポケット 6ケ月～3歳【1年安心保障付き】…"
4500,amazon,B08XYVQ8GW,true,amazon_done,"miffy ミッフィー ベビービブ チューリップ ホワイト MFBB787"
